event_type,parameter,severity,start_MET,end_MET,duration,trigger_value,recovered
low_battery,battery,critical,1724.85059,69487.371733,67762.521143,19.07591133793304,True
low_battery,battery,critical,69566.636038,342980.589005,273413.952967,6.902924569823687,False
high_temperature,temperature,warning,57.133527,1819.911059,1762.777532,35.81940757710038,True
high_temperature,temperature,warning,1923.128164,13395.469883,11472.341719,35.1785190665174,True
high_temperature,temperature,warning,13498.756141,13800.368955,301.61281400000007,35.274357280797524,True
high_temperature,temperature,warning,13895.557587,66056.019755,52160.462168,35.04629570599677,True
high_temperature,temperature,warning,66148.17139,66443.783369,295.6119789999939,35.401056603755464,True
high_temperature,temperature,warning,66547.539677,66851.265803,303.72612600000866,35.21742138124716,True
high_temperature,temperature,warning,66953.503636,67244.229042,290.7254060000123,35.3093450694134,True
high_temperature,temperature,warning,67347.07275,67658.333286,311.26053599998704,35.29194719478,True
high_temperature,temperature,warning,67766.50283,68079.975269,313.47243900000467,35.30985042359093,True
high_temperature,temperature,warning,68175.807445,68475.994112,300.18666700000176,35.337960214549994,True
high_temperature,temperature,warning,68578.637828,68880.227076,301.5892479999893,35.10417267717479,True
high_temperature,temperature,warning,68977.383243,69275.647621,298.2643779999926,35.00789455327536,True
high_temperature,temperature,critical,69371.794699,69566.636038,194.84133899999142,35.011599374569094,True
high_temperature,temperature,critical,69614.753932,342878.436476,273263.682544,35.135065822421446,True
high_temperature,temperature,critical,342931.519409,342980.589005,49.069596000015736,35.11720213563099,False
low_fuel,fuel,critical,13292.224116,69487.371733,56195.14761700001,19.626844066992653,True
